Makeup_Type,Brand,Product_Name,Shade_Name,Shade_Description,Finish,Undertone,Image,Image Link,,,,,,,Price
eyeshadow,GRWM Cosmetics,Face Card Shadowplay - Velvet Matte Eyeshadow,Stonewood,deep neutral brown,velvet matte,Neutral,,https://drive.google.com/file/d/1icKHrU-puBHt1P7f1h3KBZZBq4pOCSai/view?usp=drive_link,,,,,,,149
eyeshadow,GRWM Cosmetics,Face Card Shadowplay - Velvet Matte Eyeshadow,Orchid,deep cool mauve,velvet matte,Cool,,https://drive.google.com/file/d/1dgB5k0vjbklJ2BKvRLhlfhsDkeOmRrB9/view?usp=drive_link,,,,,,,149
eyeshadow,GRWM Cosmetics,Face Card Shadowplay - Velvet Matte Eyeshadow,Driftwood,medium cool taupe,velvet matte,Cool,,https://drive.google.com/file/d/1Xj7CgkNELohQo-jiOtBdrIW5h0eyuxE1/view?usp=drive_link,,,,,,,149
eyeshadow,GRWM Cosmetics,Face Card Shadowplay - Velvet Matte Eyeshadow,Illusion,medium cool indigo,velvet matte,Cool,,https://drive.google.com/file/d/1P4O3FRsbLYMsqnUAnReBEzfB52Ozb6Jm/view?usp=drive_link,,,,,,,149
eyeshadow,GRWM Cosmetics,Face Card Shadowplay - Frost Eyeshadow,Cocktail,frosted cocktail,high-shine finish,Neutral,,https://drive.google.com/file/d/1mNgVuG3t-LIYlQ3oJ0GqgJOGeuxiJQXL/view?usp=drive_link,,,,,,,149
eyeshadow,GRWM Cosmetics,Face Card Shadowplay - Frost Eyeshadow,Intimate,frosted medium pink,high-shine finish,Cool,,https://drive.google.com/file/d/1neTSpAfYGHnSqJNCSpGTs7DN-MUOkpy0/view?usp=drive_link,,,,,,,149
eyeshadow,GRWM Cosmetics,Face Card Shadowplay - Frost Eyeshadow,Starstruck,frosted champagne rose gold,high-shine finish,Warm,,https://drive.google.com/file/d/1LUXMz50Wnhwngq2wwIYu-rPSmun2ZLYM/view?usp=drive_link,,,,,,,149
eyeshadow,GRWM Cosmetics,Face Card Shadowplay - Frost Eyeshadow,Enchanted,frosted medium lilac,high-shine finish,Cool,,https://drive.google.com/file/d/1qDm3mt8EjSh1BJKH92tTRxoHGtP7_yX5/view?usp=drive_link,,,,,,,149
eyeshadow,GRWM Cosmetics,Face Card Shadowplay - Frost Eyeshadow,Flutter,frosted cool pink,high-shine finish,Cool,,https://drive.google.com/file/d/1dRwbN3-LbieUye_k9rmq48AG1PC9ByQ0/view?usp=drive_link,,,,,,,149
eyeshadow,GRWM Cosmetics,Face Card Shadowplay - Frost Eyeshadow,Celestial,frosted champagne gold,high-shine finish,Warm,,https://drive.google.com/file/d/17PbhFuVROkplqD7glp1IR3IpjOlc7GJE/view?usp=drive_link,,,,,,,149
eyeshadow,GRWM Cosmetics,Face Card Shadowplay - Frost Eyeshadow,Non‑nego,frosted bronzed peach,high-shine finish,Warm,,https://drive.google.com/file/d/1Pfal1N6rgtVmis9WSaC98LF4Z-4QfkXe/view?usp=drive_link,,,,,,,149
eyeshadow,GRWM Cosmetics,Face Card Shadowplay - Frost Eyeshadow,Crowd,frosted cool deep brown,high-shine finish,Cool,,https://drive.google.com/file/d/1Sd4-FQFp7EZduwwAVZku1wUV63CqYcJy/view?usp=drive_link,,,,,,,149
eyeshadow,GRWM Cosmetics,Face Card Shadowplay - Frost Eyeshadow,Tiara,frosted white,high-shine finish,"Neutral, Cool",,https://drive.google.com/file/d/1Fz_QiCZQB16pWUOCyHY8558vq8ZwaKAz/view?usp=sharing,,,,,,,149
eyeshadow,GRWM Cosmetics,Face Card Shadowplay - Frost Eyeshadow,Ocean,frosted royal blue,high-shine finish,Cool,,https://drive.google.com/file/d/120VA0X7sYzf3AIjPcNra-cx5Gm4_F9p_/view?usp=drive_link,,,,,,,149
eyeshadow,GRWM Cosmetics,Face Card Shadowplay - Frost Eyeshadow,Atelier,frosted bronze,high-shine finish,Warm,,https://drive.google.com/file/d/1sBupeAz-4VoS3N6YCGRCEyT5pqW722i3/view?usp=drive_link,,,,,,,149
eyeshadow,GRWM Cosmetics,Face Card Shadowplay - Frost Eyeshadow,Chandelier,frosted gold,high-shine finish,Warm,,https://drive.google.com/file/d/1Xy1Eh0Atmi-j0de39LD6Q5kqSL5GnkUk/view?usp=drive_link,,,,,,,149
eyeshadow,GRWM Cosmetics,Face Card Shadowplay - Frost Eyeshadow,Periwinkle,frosted dark lilac,high-shine finish,Cool,,https://drive.google.com/file/d/1sdo_AmPsXVk7Lxju57nK7wpbYR0cQNoi/view?usp=drive_link,,,,,,,149
eyeshadow,GRWM Cosmetics,Face Card Shadowplay - Frost Eyeshadow,Cheers,frosted light peachy champagne gold,high-shine finish,Warm,,https://drive.google.com/file/d/1F_r8pmxHVR0_6LbQzyRJQSU5c9q2CEzj/view?usp=drive_link,,,,,,,149
eyeshadow,GRWM Cosmetics,Face Card Shadowplay - Frost Eyeshadow,Impromptu,frosted deep rose gold,high-shine finish,Warm,,https://drive.google.com/file/d/1tyTH8PUAnhUkwzs2fTD8DCoj5zpQpU_m/view?usp=drive_link,,,,,,,149
eyeshadow,GRWM Cosmetics,Face Card Shadowplay - Frost Eyeshadow,Burlesque,frosted silver,high-shine finish,Cool,,https://drive.google.com/file/d/1alBy0NYxYlNxCbz1ux2tAOpH50JPXsJq/view?usp=drive_link,,,,,,,149
